Id,Name,Price,Brand,Type,Image,Description ,  
1,Himi Jelly Gouache 30ml Blue Set x 24,19.9,MIYA,Paint,MIYA Himi Jelly Gouache 30ml Blue Set x 24.jfif,The MIYA gouache paint set can make for the most appreciated gift for every artist and generally everyone that loves painting!,
2, Gouache 12ml Set x 18,8.9,MIYA,Paint,MIYA Gouache 12ml Set x 18.jfif,"Miya gouache set of 18 asorted colors.

About the brand
MIYA factory is strictly follow ISO9000 system, and produces a variety of products developed with a dedication to quanlity, all products are non-toxic and confirms to European EN71 and American ASTM-D4236 standards with test reports.",
3,Jelly Gouache 30ml Pink Set x 18,12.9,MIYA,Paint,MIYA Jelly Gouache 30ml Pink Set x 18.jfif,"MIYA Himi Jelly Gouache 30ml Set of 56 assorted colors.

The MIYA gouache paint set can make for the most appreciated gift for every artist and generally everyone that loves painting!",
4,Himi Jelly Gouache 30ml Blue Set x 18,12.9,MIYA,Paint,MIYA Himi Jelly Gouache 30ml Blue Set x 18.jfif,"MIYA Himi Jelly Gouache 30ml Set of 56 assorted colors.

The MIYA gouache paint set can make for the most appreciated gift for every artist and generally everyone that loves painting!",
5,Himi Jelly Gouache 30ml Mint Set x 24,19.9,MIYA,Paint,MIYA Himi Jelly Gouache 30ml Mint Set x 24.jpg,"MIYA Himi Jelly Gouache 30ml Set of 24 assorted colors.

The MIYA gouache paint set can make for the most appreciated gift for every artist and generally everyone that loves painting!",
6,Himi Jelly Gouache 30ml Set x 56,34.9,MIYA,Paint,MIYA Himi Jelly Gouache 30ml Set x 56.jfif,"MIYA Himi Jelly Gouache 30ml Set of 56 assorted colors.

Miya is the first company to design and manufacture jelly cup paint pigment in China.

The MIYA gouache paint set can make for the most appreciated gift for every artist and generally everyone that loves painting!",
7,Gouache 12ml Set x 12,6.9,MIYA,Paint,MIYA Gouache 12ml Set x 12.jfif,"Miya gouache set of 12 assorted colors.

About the brand
MIYA factory is strictly follow ISO9000 system, and produces a variety of products developed with a dedication to quanlity, all products are non-toxic and confirms to European EN71 and American ASTM-D4236 standards with test reports.",
8,Gouache 12ml Set x 12.jfif,19.9,MIYA,Paint,MIYA Jelly Gouache 30ml Pink Set x 24.jpg,"MIYA Himi Jelly Gouache 30ml Set of 24 assorted colors.

The MIYA gouache paint set can make for the most appreciated gift for every artist and generally everyone that loves painting!",
9,Porcelaine Marker 0.7mm Lapis Blue,6.9,PEBEO,Marker,PEBEO Porcelaine Marker 0.7mm Lapis Blue.png,"Porcelaine 150 Markers can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.
The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours.
Porcelaine 150 makes professional enamelling available to all. Colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.
Colours can be mixed together.",
10,Porcelaine Marker 1.2mm Anthracite Black,6.9,PEBEO,Marker,PEBEO Porcelaine Marker 1.2mm Anthracite Black.png,"Porcelaine 150 Markers can be applied to all heat-stable surfaces that are able to withstand a temperature of 300°F (150°C), such as porcelain, china, glazed earthenware, terracotta, metal, enamelled sheet steel, copper and glass.
The surface chosen, allows for numerous interesting effects to be produced and experiments to be made with the transparency and intensity of the colours.
Porcelaine 150 makes professional enamelling available to all. Colours can all be mixed together to create a deep and glossy, transparent or opaque finish, with a superb enamelled appearance, once baked.
Colours can be mixed together.",
